CID,Melting Point,InChIKey
442428,83.0,DFPMSGMNTNDNHN-ZPHOTFPESA-N
11029,990.0,ZLNQQNXFFQJAID-UHFFFAOYSA-L
6782,-64.0,MGWAVDBGNNKXQV-UHFFFAOYSA-N
7355,-40.0,STVZJERGLQHEKB-UHFFFAOYSA-N
1550846,22.0,ZWKNLRXFUTWSOY-QPJJXVBHSA-N
8025,-79.6,WBJINCZRORDGAQ-UHFFFAOYSA-N
5610,164.5,DZGWFCGJZKJUFP-UHFFFAOYSA-N
7337,141.0,GVBHRNIWBGTNQA-UHFFFAOYSA-N
14821,1700.0,WGPCGCOKHWGKJJ-UHFFFAOYSA-N
8892,-3.0,FUZZWVXGSFPDMH-UHFFFAOYSA-N
6507,-20.0,ZFOZVQLOBQUTQQ-UHFFFAOYSA-N
7048611,208.0,AVKUERGKIZMTKX-NJBDSQKTSA-N
6249,208.0,AVKUERGKIZMTKX-NJBDSQKTSA-N
7577,92.5,YBRVSVVVWCFQMG-UHFFFAOYSA-N
31289,-19.3,GYHFUZHODSMOHU-UHFFFAOYSA-N
6409,-43.5,RHQDFWAXVIIEBN-UHFFFAOYSA-N
8165,-25.0,FPZWZCWUIYYYBU-UHFFFAOYSA-N
8064,20.4,WERYXYBDKMZEQL-UHFFFAOYSA-N
10914,64.5,HTDJPCNNEPUOOQ-UHFFFAOYSA-N
753,18.2,PEDCQBHIVMGVHV-UHFFFAOYSA-N
22326046,-0.43,MHAJPDPJQMAIIY-UHFFFAOYSA-N
784,-0.43,MHAJPDPJQMAIIY-UHFFFAOYSA-N
5788,177.0,NJESAXZANHETJV-UHFFFAOYSA-N
7318,229.5,PPDRLQLKHRZIJC-UHFFFAOYSA-N
7440,30.5,HFZKOYWDLDYELC-UHFFFAOYSA-N
11906,-17.0,BASMANVIUSSIIM-UHFFFAOYSA-N
8794,-23.8,SUSQOBVLVYHIEX-UHFFFAOYSA-N
8207,32.5,XFRVVPUIAFSTFO-UHFFFAOYSA-N
8163,15.0,KYWIYKKSMDLRDC-UHFFFAOYSA-N
19460,-70.0,XWJBRBSPAODJER-UHFFFAOYSA-N
5564,55.65,XEFQLINVKFYRCS-UHFFFAOYSA-N
8193,24.0,LQZZUXJYWNFBMV-UHFFFAOYSA-N
66686,212.0,CRRLDLPBQWRVGN-UHFFFAOYSA-N
6327182,449.8,PORWMNRCUJJQNO-UHFFFAOYSA-N
8194,44.5,HFJRKMMYBMWEAD-UHFFFAOYSA-N
14899,-100.0,LVGFPWDANALGOY-UHFFFAOYSA-N
23993,1522.0,VWQVUPCCIRVNHF-UHFFFAOYSA-N
5370325,-10.0,ROPXFXOUUANXRR-BUHFOSPRSA-N
