Species,InChIKey,Hcp
cyclobutane,PMPVIKIVABFJJI-UHFFFAOYSA-N,7e-05
cyclopentane,RGSFGYAAUTVSQA-UHFFFAOYSA-N,5.4e-05
cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,5.6e-05
cycloheptane,DMEGYFMYUHOHGS-UHFFFAOYSA-N,8.2e-05
cyclooctane,WJTCGQSWYFHTAC-UHFFFAOYSA-N,7.1e-05
methylcyclopentane,GDOPTJXRTPNYNR-UHFFFAOYSA-N,2.7e-05
methylcyclohexane,UAEPNZWRGJTJPN-UHFFFAOYSA-N,2.5e-05
methylcyclohexane-d14,UAEPNZWRGJTJPN-OBYKGMMLSA-N,0.00031
ethylcyclohexane,IIEWJVIFRVWJOD-UHFFFAOYSA-N,2.1e-05
methylcycloheptane,GYNNXHKOJHMOHS-UHFFFAOYSA-N,2.1e-05
"1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-UHFFFAOYSA-N,2.1e-05
"{\it cis}-1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-OCAPTIKFSA-N,2.8e-05
"{\it trans}-1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-YUMQZZPRSA-N,1.7e-05
"1,4-dimethylcyclohexane",QRMPKOFEUHIBNM-UHFFFAOYSA-N,1.5e-05
"{\it trans}-1,4-dimethylcyclohexane",QRMPKOFEUHIBNM-ZKCHVHJHSA-N,1.1e-05
"1,1,2-trimethylcyclopentane",WINCSBAYCULVDU-UHFFFAOYSA-N,6.9e-06
"1,1,3-trimethylcyclopentane",OBKHYUIZSOIEPG-UHFFFAOYSA-N,6.3e-06
"1,1,3-trimethylcyclohexane",PYOLJOJPIPCRDP-UHFFFAOYSA-N,9.5e-06
propylcyclopentane,KDIAMAVWIJYWHN-UHFFFAOYSA-N,1.1e-05
pentylcyclopentane,HPQURZRDYMUHJI-UHFFFAOYSA-N,5.4e-06
cyclooctene,URYYVOIYTNXXBN-UPHRSURJSA-N,0.00021
decahydronaphthalene,NNBZCPXTIHJBJL-UHFFFAOYSA-N,7.2e-05
octahydro-1H-indene,BNRNAKTVFSZAFA-UHFFFAOYSA-N,8.8e-05
($Z$)-bicyclo[4.4.0]decane,NNBZCPXTIHJBJL-AOOOYVTPSA-N,0.00043
($E$)-bicyclo[4.4.0]decane,NNBZCPXTIHJBJL-MGCOHNPYSA-N,0.00027
"2,6,6-trimethylbicyclo[3.1.1]heptane",XOKSLPVRUOBDEW-UHFFFAOYSA-N,2.8e-05
"1,1'-bicyclohexyl",WVIIMZNLDWSIRH-UHFFFAOYSA-N,3.1e-05
cyclododecane,DDTBPAQBQHZRDW-UHFFFAOYSA-N,6.4e-06
"octahydro-1,1,2,3,3-pentamethyl-1H-indene",TUALLFJCLUYJEN-UHFFFAOYSA-N,9e-06
"1,1':3',1''-tercyclohexane",JBQRJHVXZMSLNH-UHFFFAOYSA-N,6.7e-06
"1,1'-(2-methylpentane-2,4-diyl)dicyclohexane",XUVKLBIJXLIPDZ-UHFFFAOYSA-N,2.9e-06
ethene,VGGSQFUCUMXWEO-UHFFFAOYSA-N,5.9e-05
propene,QQONPFPTGQHPMA-UHFFFAOYSA-N,4.7e-05
1-butene,VXNZUUAINFGPBY-UHFFFAOYSA-N,0.00013
2-butene,IAQRGUVFOMOMEM-UHFFFAOYSA-N,5.1e-05
{\it cis}-2-butene,IAQRGUVFOMOMEM-ARJAWSKDSA-N,5.5e-05
{\it trans}-2-butene,IAQRGUVFOMOMEM-ONEGZZNKSA-N,3.9e-05
2-methylpropene,VQTUBCCKSQIDNK-UHFFFAOYSA-N,5.6e-05
1-pentene,YWAKXRMUMFPDSH-UHFFFAOYSA-N,2.5e-05
2-pentene,QMMOXUPEWRXHJS-UHFFFAOYSA-N,4.4e-05
{\it cis}-2-pentene,QMMOXUPEWRXHJS-HYXAFXHYSA-N,4.4e-05
{\it trans}-2-pentene,QMMOXUPEWRXHJS-HWKANZROSA-N,4.2e-05
2-methyl-1-butene,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2.3e-05
2-methyl-2-butene,BKOOMYPCSUNDGP-UHFFFAOYSA-N,7.4e-05
3-methyl-1-butene,YHQXBTXEYZIYOV-UHFFFAOYSA-N,1.8e-05
1-hexene,LIKMAJRDDDTEIG-UHFFFAOYSA-N,2.4e-05
2-methyl-1-pentene,WWUVJRULCWHUSA-UHFFFAOYSA-N,3.6e-05
4-methyl-1-pentene,WSSSPWUEQFSQQG-UHFFFAOYSA-N,1.6e-05
"2,3-dimethyl-1-butene",OWWIWYDDISJUMY-UHFFFAOYSA-N,1.7e-05
1-heptene,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,2.3e-05
2-heptene,OTTZHAVKAVGASB-UHFFFAOYSA-N,1.7e-05
{\it trans}-2-heptene,OTTZHAVKAVGASB-HWKANZROSA-N,2.4e-05
1-octene,KWKAKUADMBZCLK-UHFFFAOYSA-N,1e-05
