1,2
methylcyclohexane-d14,3.1×10−4
C6D11CD3,
[10120-28-2],
ethylcyclohexane,2.1×10−5
C 8 H16,3.1 ×10−5
[1678-91-7],7.3 10−6×
methylcycloheptane,2.1 10−5×
C8H16,
[4126-78-7],
"1,2-dimethylcyclohexane",2.1 ×10−5
C6H10(CH3)2,1.4 ×10−5
[583-57-3],2.3×10−5
"cis-1,2-dimethylcyclohexane",2.8×10−5
C6H10(CH3)2,2.9×10−5
[2207-01-4],4.6 10−6×
"trans-1,2-dimethylcyclohexane",1.7×10
C6H10(CH3)2,5.7×10−6
[6876-23-9],1.3×10−5
"1,4-dimethylcyclohexane",1.5 10−5×
C6H10(CH3)2,
[589-90-2],
"trans-1,4-dimethylcyclohexane",1.1×10−5
C6H10(CH3)2,1.1×10−5
[2207-04-7],1.1 10−5×
"1,1,2-trimethylcyclopentane",6.9 ×10−6
C5H7(CH3)3,
[4259-00-1],
"1,1,3-trimethylcyclopentane",6.3 10−6×
C5H7(CH3)3,6.3×10−6
[4516-69-2],6.3 10−6×
"1,1,3-trimethylcyclohexane",9.5 10−6×
C 9 H18,9.5 ×10−6
[3073-66-3],
propylcyclopentane,1.1 10−5×
C5H9C3H7,1.1×10−5
[2040-96-2],1.1×10−5
pentylcyclopentane,5.4 10−6×
C5H9C5H11,5.4 ×10−6
[3741-00-2],5.4×10−6
cyclooctene,2.1 ×10−4
C8H14,2.1×10−4
[931-88-4],
decahydronaphthalene,7.2×10
C10H18,2.1×10−5
(decalin),6.5×10−5
[91-17-8],
octahydro-1H-indene,8.8×10−5
C9H16,
[496-10-6],
(Z)-bicyclo[4.4.0]decane,4.3 10−4×
C10H18,
(cis-decahydronaphthalene; cis-,
decalin),
[493-01-6],
(E)-bicyclo[4.4.0]decane,2.7×10−4
C10H18,
(trans-decahydronaphthalene; trans-,
decalin),
[493-02-7],
"2,6,6-trimethylbicyclo[3.1.1]heptane",2.8×10−5
C10H18,
(dihydropinene),
[473-55-2],
"1,1’-bicyclohexyl",3.1×10−5
C12H22,
[92-51-3],
cyclododecane,6.4×10−6
C12H24,
[294-62-2],
"octahydro-1,1,2,3,3-pentamethyl-1H-",9.0×10−6
indene,
C 14 H26,1.1 ×10−6
[33704-60-8],6.5×10−4
"1,1’:3’,1”-tercyclohexane",6.7×10−6
C18H32,1.5×10−5
[1706-50-9],1.7 ×10−3
"1,1’-(2-methylpentane-2,4-",2.9 ×10−6
diyl)dicyclohexane,
C18H34,2.1×10−6
[38970-72-8],1.1 10−3×
A,liphatic alk
ethene,5.9×10−5
C2H4,5.9×10−5
(ethylene),4.6 10−5×
[74-85-1],4.7 10−5×
propene,4.7×10−5
C3H6,7.3×10−5
(propylene),5.4 ×10−5
[115-07-1],5.5×10−5
1-butene,1.3 10−4×
C4H8,3.9 ×10−5
[106-98-9],3.9 10−5×
2-butene,5.1×10−5
C4H8,
[107-01-7],
cis-2-butene,5.5×10
C 4 H8,5.9 ×10−5
[590-18-1],
trans-2-butene,3.9 10−5×
C4H8,5.4×10−5
[624-64-6],
2-methylpropene,5.6 10−5×
C 4 H8,4.6×10−5
(isobutene),4.6 10−5×
[115-11-7],4.6 10−5×
1-pentene,2.5×10−5
C5H10,2.5×10−5
[109-67-1],2.5 ×10−5
2-pentene,4.4×10−5
C5H10,3.6×10−5
[109-68-2],
cis-2-pentene,4.4 ×10−5
C 5 H10,4.5×10−5
[627-20-3],4.4×10−5
trans-2-pentene,4.2×10−5
C5H10,3.1 ×10−5
[646-04-8],2.7 10−5×
2-methyl-1-butene,2.3×10−5
C5H10,
[563-46-2],
2-methyl-2-butene,7.4 10−5×
C 5 H10,4.4 ×10−5
[513-35-9],7.5 10−5×
3-methyl-1-butene,1.8×10
C5H10,1.8 ×10−5
[563-45-1],1.8 10−5×
1-hexene,2.4 10−5×
C 6 H12,2.4 ×10−5
[592-41-6],2.4 10−5×
